fee_per_byte,mempool_bytes,confirmation_time
1.19,18.03693676,1
4.27,9.66217041,0
4.27,18.03693676,1
4.06,18.03693676,1
4.28,41.04769611,1
4.7,9.66217041,0
2.98,9.66217041,0
2.97,9.66217041,0
4.44,9.66217041,0
1.54,18.03693676,1
4.42,9.66217041,0
2.82,9.66217041,0
2.62,9.66217041,0
4.08,9.66217041,0
2.82,9.66217041,0
2.84,9.66217041,0
1.51,18.03693676,1
2.98,9.66217041,0
1.78,32.11429501,2
2.97,9.66217041,0
4.29,41.04769611,1
1.49,9.66217041,0
2.15,41.04769611,1
4.27,9.66217041,0
2.05,18.03693676,1
2.87,18.03693676,1
2.84,9.66217041,0
2.39,18.03693676,1
2.47,9.66217041,0
2.84,9.66217041,0
4.27,18.03693676,1
2.69,9.66217041,0
4.28,9.66217041,0
2.82,9.66217041,0
2.96,9.66217041,0
2.87,9.66217041,0
2.87,41.04769611,1
2.7,9.66217041,0
4.05,9.66217041,0
2.84,9.66217041,0
4.27,18.03693676,1
2.84,9.66217041,0
2.84,9.66217041,0
4.27,9.66217041,0
2.71,9.66217041,0
2.0,9.88043499,1
2.59,18.03693676,1
1.83,9.66217041,0
2.82,9.66217041,0
2.24,41.04769611,1
1.77,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
0.67,18.03693676,1
2.82,9.66217041,0
2.87,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
2.39,9.66217041,0
2.84,9.66217041,0
2.16,18.03693676,1
2.69,9.66217041,0
2.87,9.66217041,0
2.42,41.04769611,1
1.19,41.04769611,1
4.43,9.66217041,0
1.56,18.03693676,1
4.44,9.66217041,0
2.84,9.66217041,0
4.0,18.03693676,1
4.05,9.66217041,0
2.86,9.66217041,0
2.66,41.04769611,1
4.3,9.66217041,0
2.98,9.66217041,0
2.98,9.66217041,0
2.84,9.66217041,0
1.18,18.03693676,1
2.98,9.66217041,0
1.56,18.03693676,1
2.7,18.03693676,1
2.82,9.66217041,0
4.25,9.66217041,0
2.87,41.04769611,1
4.43,9.66217041,0
2.82,9.66217041,0
1.56,18.03693676,1
2.84,9.66217041,0
2.97,9.66217041,0
2.82,9.66217041,0
0.68,18.03693676,1
0.64,18.03693676,1
4.27,41.04769611,1
2.81,9.66217041,0
2.82,9.66217041,0
1.04,41.04769611,1
1.86,32.11429501,2
2.82,9.66217041,0
2.84,9.66217041,0
2.84,9.66217041,0
4.29,9.66217041,0
4.27,18.03693676,1
1.66,9.66217041,0
2.84,9.66217041,0
4.28,41.04769611,1
2.69,9.66217041,0
4.27,41.04769611,1
2.82,9.66217041,0
2.97,9.66217041,0
2.96,9.66217041,0
1.0,18.03693676,1
2.82,9.66217041,0
1.75,18.03693676,1
2.84,9.66217041,0
2.21,18.03693676,1
1.84,9.66217041,0
2.7,9.66217041,0
4.43,9.66217041,0
2.82,9.66217041,0
0.79,41.04769611,1
4.04,18.03693676,1
2.82,9.66217041,0
50.09,9.66217041,0
2.02,41.04769611,1
2.98,9.66217041,0
4.29,9.66217041,0
2.84,9.66217041,0
4.0,9.66217041,0
1.51,9.66217041,0
4.01,9.66217041,0
2.49,9.66217041,0
2.82,9.66217041,0
2.84,9.66217041,0
2.24,9.66217041,0
0.68,18.03693676,1
2.97,9.66217041,0
2.71,41.04769611,1
4.39,9.66217041,0
2.97,9.66217041,0
4.04,9.66217041,0
4.28,9.66217041,0
2.97,9.66217041,0
2.82,9.66217041,0
5.52,9.66217041,0
1.48,18.03693676,1
4.42,9.66217041,0
2.98,9.66217041,0
4.28,41.04769611,1
4.29,9.66217041,0
4.27,18.03693676,1
6.03,9.66217041,0
2.82,9.66217041,0
2.84,9.66217041,0
4.27,18.03693676,1
2.84,9.66217041,0
2.81,9.66217041,0
2.87,18.03693676,1
1.2,18.03693676,1
2.71,9.66217041,0
2.82,9.66217041,0
2.73,9.66217041,0
1.18,18.03693676,1
2.96,9.66217041,0
2.82,9.66217041,0
2.84,9.66217041,0
2.98,9.66217041,0
4.05,9.66217041,0
2.82,9.66217041,0
0.94,18.03693676,1
2.84,9.66217041,0
2.84,9.66217041,0
2.84,9.66217041,0
1.34,18.03693676,1
0.84,18.03693676,1
2.9,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
1.56,9.66217041,0
2.06,18.03693676,1
2.16,41.04769611,1
4.44,9.66217041,0
4.28,9.66217041,0
2.68,18.03693676,1
4.3,9.66217041,0
2.98,9.66217041,0
2.17,18.03693676,1
2.82,9.66217041,0
2.84,9.66217041,0
2.25,9.66217041,0
0.57,18.03693676,1
1.75,9.66217041,0
2.84,9.66217041,0
4.43,9.66217041,0
2.62,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
4.57,9.66217041,0
2.0,9.66217041,1
4.43,9.66217041,0
4.44,9.66217041,0
4.42,9.66217041,0
1.98,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
4.29,9.66217041,0
2.47,9.66217041,0
2.84,9.66217041,0
2.25,9.66217041,0
2.84,9.66217041,0
2.84,9.66217041,0
1.84,32.11429501,2
0.61,18.03693676,1
4.27,18.03693676,1
2.82,9.66217041,0
2.96,9.66217041,0
4.42,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
1.59,18.03693676,1
1.48,18.03693676,1
4.44,9.66217041,0
2.84,9.66217041,0
4.29,9.66217041,0
3.01,41.04769611,1
4.28,18.03693676,1
4.08,41.04769611,1
2.82,9.66217041,0
2.82,9.66217041,0
2.05,18.03693676,1
0.79,18.03693676,1
4.44,9.66217041,0
1.4,18.03693676,1
0.72,18.03693676,1
2.63,9.66217041,0
2.7,18.03693676,1
2.82,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
2.62,18.03693676,1
4.29,18.03693676,1
0.66,18.03693676,1
2.82,9.66217041,0
2.96,9.66217041,0
4.27,18.03693676,1
2.86,18.03693676,1
2.82,9.66217041,0
2.82,9.66217041,0
4.27,18.03693676,1
2.51,9.66217041,0
2.74,9.66217041,0
2.0,9.66217041,0
4.44,9.66217041,0
2.24,18.03693676,1
2.44,41.04769611,1
2.82,9.66217041,0
2.58,9.66217041,0
0.66,18.03693676,1
1.0,18.03693676,1
2.82,9.66217041,0
4.29,9.66217041,0
4.24,9.66217041,0
4.33,9.66217041,0
0.66,18.03693676,1
0.68,18.03693676,1
10.05,9.66217041,0
2.87,41.04769611,1
2.82,9.66217041,0
1.6,41.04769611,1
2.29,9.66217041,0
1.01,18.03693676,1
2.84,9.66217041,0
2.66,18.03693676,1
4.29,9.66217041,0
2.87,9.66217041,0
2.82,9.66217041,0
2.97,9.66217041,0
3.81,9.66217041,0
2.4,9.66217041,0
2.98,9.66217041,0
4.27,9.66217041,0
2.82,9.66217041,0
4.44,9.66217041,0
0.77,18.03693676,1
2.66,9.66217041,0
2.67,41.04769611,1
2.28,9.66217041,0
1.67,18.03693676,1
2.82,9.66217041,0
4.27,9.66217041,0
4.73,9.66217041,0
2.97,9.66217041,0
4.27,9.66217041,0
5.0,9.66217041,0
2.97,9.66217041,0
2.84,9.66217041,0
1.74,9.66217041,0
2.35,18.03693676,1
2.0,9.66217041,1
1.18,18.03693676,1
2.98,9.66217041,0
4.05,9.66217041,0
3.0,9.66217041,0
2.82,9.66217041,0
1.0,18.03693676,1
2.85,41.04769611,1
4.08,18.03693676,1
4.28,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
2.86,9.66217041,0
2.82,9.66217041,0
2.97,9.66217041,0
2.06,41.04769611,1
2.31,18.03693676,1
0.55,18.03693676,1
4.27,9.66217041,0
1.19,18.03693676,1
2.4,9.66217041,0
0.62,18.03693676,1
2.87,18.03693676,1
2.82,9.66217041,0
3.19,9.66217041,0
4.27,18.03693676,1
4.0,18.03693676,1
2.82,9.66217041,0
2.97,9.66217041,0
4.43,9.66217041,0
0.8,18.03693676,1
1.19,18.03693676,1
4.39,9.66217041,0
1.56,9.66217041,0
2.0,9.66217041,0
2.81,9.66217041,0
2.81,9.66217041,0
2.98,9.66217041,0
4.02,18.03693676,1
4.01,9.66217041,0
4.29,41.04769611,1
2.84,9.66217041,0
4.27,9.66217041,0
4.42,9.66217041,0
4.27,18.03693676,1
2.28,18.03693676,1
3.57,9.66217041,0
2.66,41.04769611,1
2.87,9.66217041,0
2.05,18.03693676,1
1.98,18.03693676,1
2.84,9.66217041,0
4.04,9.66217041,0
2.67,18.03693676,1
2.69,41.04769611,1
4.14,18.03693676,1
3.98,18.03693676,1
2.97,9.66217041,0
2.01,18.03693676,1
4.0,41.04769611,1
1.54,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
2.86,9.66217041,0
2.82,9.66217041,0
1.33,18.03693676,1
2.86,9.66217041,0
2.98,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
1.98,9.66217041,0
5.0,9.66217041,0
0.79,18.03693676,1
0.66,18.03693676,1
2.28,9.66217041,0
2.67,9.66217041,0
2.98,9.66217041,0
1.28,41.04769611,1
2.41,41.04769611,1
2.84,9.66217041,0
3.78,41.04769611,1
2.84,9.66217041,0
4.27,18.03693676,1
0.55,18.03693676,1
2.98,9.66217041,0
1.0,18.03693676,1
2.47,41.04769611,1
4.0,41.04769611,1
2.63,9.66217041,0
2.95,9.66217041,0
2.82,9.66217041,0
3.05,18.03693676,1
2.69,9.66217041,0
2.84,9.66217041,0
4.28,9.66217041,0
1.39,18.03693676,1
0.62,18.03693676,1
2.82,9.66217041,0
3.01,41.04769611,1
4.43,9.66217041,0
2.82,9.66217041,0
74.37,9.66217041,0
2.82,9.66217041,0
4.42,9.66217041,0
0.6,18.03693676,1
2.88,9.66217041,0
2.01,9.66217041,0
1.84,9.88043499,2
2.86,9.66217041,0
2.98,9.66217041,0
2.84,9.66217041,0
4.3,9.66217041,0
2.84,9.66217041,0
2.87,9.66217041,0
2.82,9.66217041,0
4.02,18.03693676,1
2.31,18.03693676,1
1.0,18.03693676,1
2.82,9.66217041,0
2.07,18.03693676,1
2.82,9.66217041,0
1.78,9.66217041,0
1.59,9.66217041,0
4.44,9.66217041,0
4.23,9.66217041,0
2.98,9.66217041,0
4.43,9.66217041,0
2.81,9.66217041,0
4.26,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
4.44,9.66217041,0
2.84,9.66217041,0
2.84,9.66217041,0
2.84,9.66217041,0
4.29,9.66217041,0
2.53,9.66217041,0
4.27,18.03693676,1
2.0,9.66217041,0
2.66,18.03693676,1
4.29,18.03693676,1
2.84,9.66217041,0
2.97,9.66217041,0
3.37,9.66217041,0
2.84,9.66217041,0
2.98,9.66217041,0
2.27,18.03693676,1
2.24,41.04769611,1
4.42,9.66217041,0
4.43,9.66217041,0
2.96,9.66217041,0
2.0,9.88043499,1
4.27,18.03693676,1
1.49,9.66217041,0
2.69,18.03693676,1
3.11,41.04769611,1
2.81,9.66217041,0
2.37,9.66217041,0
4.44,9.66217041,0
2.98,9.66217041,0
1.82,32.11429501,2
2.47,9.66217041,0
2.0,41.04769611,1
2.82,9.66217041,0
2.97,9.66217041,0
1.37,18.03693676,1
2.66,18.03693676,1
10.0,9.66217041,0
0.79,18.03693676,1
4.32,9.66217041,0
4.27,9.66217041,0
2.82,9.66217041,0
2.01,9.66217041,0
2.66,9.66217041,0
2.81,9.66217041,0
2.62,41.04769611,1
2.81,9.66217041,0
2.82,9.66217041,0
2.47,9.66217041,0
2.39,9.66217041,0
2.84,9.66217041,0
2.88,9.66217041,0
1.56,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
2.22,41.04769611,1
4.42,9.66217041,0
4.29,9.66217041,0
2.05,18.03693676,1
4.43,9.66217041,0
4.29,18.03693676,1
2.82,9.66217041,0
2.22,18.03693676,1
2.82,9.66217041,0
4.01,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
1.37,18.03693676,1
1.26,18.03693676,1
2.84,9.66217041,0
2.84,9.66217041,0
2.82,9.66217041,0
1.98,18.03693676,1
4.29,9.66217041,0
2.81,9.66217041,0
2.82,9.66217041,0
2.67,18.03693676,1
4.44,9.66217041,0
2.93,18.03693676,1
2.52,9.66217041,0
2.0,9.66217041,0
4.27,41.04769611,1
2.88,41.04769611,1
4.02,9.66217041,0
2.69,9.66217041,0
4.0,9.66217041,0
0.94,41.04769611,1
2.82,9.66217041,0
4.43,9.66217041,0
2.0,9.66217041,0
4.29,9.66217041,0
0.68,18.03693676,1
4.44,9.66217041,0
1.0,41.04769611,1
0.58,18.03693676,1
4.74,9.66217041,0
2.2,18.03693676,1
0.56,18.03693676,1
4.27,18.03693676,1
4.02,18.03693676,1
2.84,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
4.27,41.04769611,1
2.68,9.66217041,0
2.84,9.66217041,0
4.27,41.04769611,1
1.19,41.04769611,1
0.68,18.03693676,1
2.47,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
3.06,9.66217041,0
2.82,9.66217041,0
4.27,18.03693676,1
4.29,9.66217041,0
2.87,9.66217041,0
1.56,9.66217041,0
1.2,18.03693676,1
0.67,18.03693676,1
2.97,9.66217041,0
1.98,18.03693676,1
2.82,9.66217041,0
2.18,41.04769611,1
2.87,9.66217041,0
4.27,9.66217041,0
4.29,18.03693676,1
4.44,9.66217041,0
2.82,9.66217041,0
4.29,9.66217041,0
2.69,9.66217041,0
1.95,41.04769611,1
4.43,9.66217041,0
2.84,9.66217041,0
2.06,18.03693676,1
1.68,9.66217041,0
4.27,9.66217041,0
2.15,18.03693676,1
2.82,9.66217041,0
2.17,18.03693676,1
2.98,9.66217041,0
4.44,9.66217041,0
4.73,9.66217041,0
4.27,41.04769611,1
4.44,9.66217041,0
2.28,9.66217041,0
2.81,9.66217041,0
0.68,18.03693676,1
2.62,9.66217041,0
2.82,9.66217041,0
2.82,9.66217041,0
2.0,9.66217041,1
2.84,9.66217041,0
2.62,18.03693676,1
1.35,18.03693676,1
2.97,9.66217041,0
1.3,18.03693676,1
4.28,18.03693676,1
2.87,18.03693676,1
2.82,9.66217041,0
4.27,9.66217041,0
0.81,18.03693676,1
4.29,9.66217041,0
2.82,9.66217041,0
2.87,18.03693676,1
2.88,9.66217041,0
3.22,9.66217041,0
2.69,9.66217041,0
2.82,9.66217041,0
4.0,9.66217041,0
2.81,9.66217041,0
2.82,9.66217041,0
4.27,41.04769611,1
2.0,9.66217041,0
1.87,41.04769611,1
2.25,9.66217041,0
4.27,9.66217041,0
2.84,9.66217041,0
1.35,41.04769611,1
1.19,18.03693676,1
2.0,9.66217041,0
1.0,41.04769611,1
4.29,41.04769611,1
4.17,9.66217041,0
2.81,9.66217041,0
4.38,9.66217041,0
36.73,9.66217041,0
4.28,9.66217041,0
2.87,9.66217041,0
2.0,9.66217041,1
2.97,9.66217041,0
2.87,9.66217041,0
4.07,41.04769611,1
2.87,41.04769611,1
2.84,9.66217041,0
1.89,18.03693676,1
1.01,18.03693676,1
2.41,9.66217041,0
4.29,9.66217041,0
4.0,18.03693676,1
2.84,9.66217041,0
2.84,9.66217041,0
2.06,18.03693676,1
2.23,18.03693676,1
2.97,9.66217041,0
2.24,9.66217041,0
2.82,9.66217041,0
1.75,9.66217041,0
1.91,9.66217041,0
0.67,18.03693676,1
2.88,9.66217041,0
2.84,9.66217041,0
2.86,9.66217041,0
2.98,9.66217041,0
0.66,18.03693676,1
4.28,41.04769611,1
2.84,9.66217041,0
4.27,9.66217041,0
4.24,18.03693676,1
2.84,9.66217041,0
1.19,41.04769611,1
2.82,9.66217041,0
4.28,9.66217041,0
1.18,18.03693676,1
2.84,9.66217041,0
2.41,9.66217041,0
4.27,41.04769611,1
4.42,9.66217041,0
4.29,9.66217041,0
2.84,9.66217041,0
1.31,18.03693676,1
2.84,9.66217041,0
2.81,9.66217041,0
2.84,9.66217041,0
1.0,18.03693676,1
2.82,9.66217041,0
4.43,9.66217041,0
2.84,9.66217041,0
4.43,9.66217041,0
2.88,9.66217041,0
2.82,9.66217041,0
2.81,9.66217041,0
2.24,41.04769611,1
2.87,41.04769611,1
2.97,9.66217041,0
2.87,9.66217041,0
2.23,9.66217041,0
1.4,9.66217041,0
4.27,18.03693676,1
2.7,9.66217041,0
4.27,9.66217041,0
2.0,9.66217041,0
2.81,9.66217041,0
2.49,9.66217041,0
2.7,9.66217041,0
1.19,18.03693676,1
2.0,9.66217041,0
2.82,9.66217041,0
1.39,18.03693676,1
1.56,41.04769611,1
3.06,9.66217041,0
5.04,9.66217041,0
0.65,18.03693676,1
1.59,9.66217041,0
1.98,18.03693676,1
2.82,9.66217041,0
2.28,9.66217041,0
2.86,18.03693676,1
2.66,41.04769611,1
2.84,9.66217041,0
4.02,41.04769611,1
3.38,9.66217041,0
